video_id,has_transcript,has_bangla,has_english,total_languages,manual_count,auto_count,languages,status
K5wF76kJIs8,True,False,False,1,0,1,hi,Available
wLR0crYMXUk,True,True,False,1,0,1,bn,Available
iAVL08K_YP0,True,False,True,1,0,1,en,Available
UjoHSueur8A,True,False,True,1,0,1,en,Available
dDtB5E1LrMk,True,False,True,1,0,1,en,Available
a_9vmHplkZs,True,False,True,1,0,1,en,Available
FYEOGPI4wHs,True,False,True,1,0,1,en,Available
8neUGzr2_4Q,True,False,True,1,0,1,en,Available
kezGvnt2tlk,True,True,False,1,0,1,bn,Available
BRaTjnoRpdg,True,True,False,1,0,1,bn,Available
PcQZTx-waB4,True,True,False,1,0,1,bn,Available
hY90r2kiAkE,True,True,False,1,0,1,bn,Available
NmrCXkrLFKw,True,False,True,1,0,1,en,Available
44iopV0-ZvM,True,False,False,1,0,1,hi,Available
8zhKtU4l8iI,True,False,False,1,0,1,th,Available
zNwjkKs7s90,True,False,False,1,0,1,hi,Available
-NCZULrIgMw,True,False,False,1,0,1,hi,Available
J9Gxvf2xWkc,True,False,True,1,0,1,en,Available
hc4juCdnsTg,True,False,False,1,0,1,hi,Available
LED8GRCYXA4,True,False,True,1,0,1,en,Available
5TZRJQ-Ipbs,True,False,True,1,0,1,en,Available
MFH3wO6n-Sk,True,True,False,1,0,1,bn,Available
8c7IdHtZt_g,True,True,False,1,0,1,bn,Available
28wewC39fQY,True,False,False,1,0,1,hi,Available
IRtgYMu0rww,True,False,False,1,0,1,es,Available
-IAwLhH30ds,True,False,False,1,0,1,ko,Available
X020uvCGuN8,True,True,False,1,1,0,bn,Available
mhNHWU3zX5k,True,False,False,1,0,1,hi,Available
JV-jGqRl_IE,True,False,True,1,0,1,en,Available
uAVAC8wOufs,True,False,True,1,0,1,en,Available
7eEUCYhFxeo,True,True,False,1,0,1,bn,Available
XMMOUauKsRg,True,True,False,1,0,1,bn,Available
gCp89axLtYk,True,False,False,1,0,1,hi,Available
Rl79l4USkdM,True,True,False,1,0,1,bn,Available
UihWQKs9BCw,True,True,False,1,0,1,bn,Available
If1q0OU0Srs,True,False,False,1,0,1,es,Available
FKnPZ7sMTpI,True,False,True,1,0,1,en,Available
9JdHL-JqdIY,True,False,False,1,0,1,hi,Available
y3KB0aHU5j4,True,False,False,1,0,1,hi,Available
Hd8FOJ3CeRA,True,True,False,1,0,1,bn,Available
KVUcosNTamk,True,False,False,1,0,1,hi,Available
CVrYIdUkq7M,True,False,True,1,0,1,en,Available
Q84H8AhKQ64,True,False,True,1,0,1,en,Available
waeBqaX2Cwc,True,False,False,1,0,1,hi,Available
Fz84BkVO9Yo,True,False,True,1,0,1,en,Available
XWAo1Vb5Xcc,True,False,False,1,0,1,hi,Available
QPxaiWMVkIo,True,False,True,1,0,1,en,Available
MMPFLkB8jD0,True,False,True,1,0,1,en,Available
s7n7hDvmmlE,True,False,False,1,0,1,hi,Available
hKwG94wu_Ig,True,False,False,1,0,1,hi,Available
0T5SNuAjMb0,True,False,True,1,0,1,en,Available
gHMSAVk45QU,True,False,False,1,0,1,hi,Available
Voe5x92nHCY,True,False,True,1,0,1,en,Available
xrsJiSyQh2Q,True,False,True,1,0,1,en,Available
saDvWNRwzWk,True,False,True,1,0,1,en,Available
W6WTNEwwSbo,True,False,True,1,0,1,en,Available
P2nTsM56pnc,True,False,False,1,0,1,hi,Available
TwCj8rFgreE,True,False,False,1,0,1,hi,Available
7y3RKiDRvKM,True,False,False,1,0,1,hi,Available
RwDc78A7wM8,True,False,True,1,0,1,en,Available
1jIWH-IqBoU,True,True,False,1,0,1,bn,Available
K6DqZM3EREk,True,False,True,1,0,1,en,Available
pJuHCyI1bHg,True,True,False,1,0,1,bn,Available
iFBCR5jjuXc,True,False,True,1,0,1,en,Available
Pt5vJe2z9m8,True,False,False,1,0,1,id,Available
aTQqMBWd-58,True,False,False,1,0,1,hi,Available
HsUPJ2UgSIo,True,False,False,1,0,1,hi,Available
tWuy1b6YFnI,True,False,False,1,0,1,hi,Available
Fz2wlDBKVN0,True,True,False,1,0,1,bn,Available
hQILAR55rtY,True,False,False,1,0,1,ar,Available
fY7VFSYJt-A,True,True,False,1,0,1,bn,Available
HmmBMAih_o8,True,True,False,1,0,1,bn,Available
vqYqU4xaps0,True,True,False,1,0,1,bn,Available
wbXEYv5C2_8,True,False,True,1,0,1,en,Available
-Qxp7KVTMpg,True,True,False,1,0,1,bn,Available
zufNXsMP7rc,True,True,False,1,0,1,bn,Available
8UJsT1XAY4I,True,True,False,1,0,1,bn,Available
DAdUVv-wzrc,True,True,False,1,0,1,bn,Available
CchOiCCtF5M,True,False,False,1,0,1,hi,Available
sqkWxLLu2cs,True,False,True,1,0,1,en,Available
eP58u6HKzhU,True,False,True,1,0,1,en,Available
QaTKFL06zEI,True,False,True,1,0,1,en,Available
N7om7BiLN38,True,False,False,1,0,1,hi,Available
BSKUW7OqB7s,True,False,False,1,0,1,fr,Available
xEzHBzMm9zM,True,True,False,1,0,1,bn,Available
tumwmXWwxpc,True,False,False,1,0,1,hi,Available
X2Vj5j4w3N0,True,False,False,1,0,1,hi,Available
ShueOxUK2uo,True,False,False,1,0,1,hi,Available
4oeC9QBn5nc,True,False,True,1,0,1,en,Available
i9p3L9-J6E8,True,False,False,1,0,1,hi,Available
ceyLMgCjLYw,True,False,True,1,0,1,en,Available
FUcFnRk1qSw,True,False,True,1,0,1,en,Available
vDOua4KsitQ,True,False,True,1,0,1,en,Available
h1iAaptxIvo,True,False,True,1,0,1,en,Available
NNAhkR-bUxc,True,False,True,1,0,1,en,Available
6jj6DmYqJ3g,True,False,True,1,0,1,en,Available
aLP0NeH5QF8,True,False,True,1,0,1,en,Available
sETAfQIXrJo,True,False,True,1,0,1,en,Available
hl7vp0X_f3I,True,True,False,1,0,1,bn,Available
ZbAiQy5vnWw,True,True,False,1,1,0,bn,Available
y2w-CqvOD3o,True,False,False,1,0,1,hi,Available
nQPx8pAAW3s,True,False,False,1,0,1,hi,Available
UaA7fylrlhg,True,False,True,1,0,1,en,Available
3V9Vnbc9RdY,True,False,True,1,0,1,en,Available
2Y3R3UPyci8,True,False,True,1,0,1,en,Available
42l7oB0uhoA,True,False,False,1,0,1,hi,Available
D-i9cg-8ZI4,True,False,True,1,0,1,en,Available
KougghVtg-8,True,False,False,1,0,1,hi,Available
IklIbyW735I,True,False,True,1,0,1,en,Available
AD311vO1Wxs,True,False,False,1,0,1,hi,Available
A5bMQaS_bzY,True,False,False,1,0,1,hi,Available
HLxvAw8M0Ck,True,False,False,1,0,1,hi,Available
PNets2ifNR0,True,False,False,1,0,1,fr,Available
yYf958ILq3Q,True,False,False,1,0,1,ro,Available
ZISVKqS3-LQ,True,True,False,1,0,1,bn,Available
TbxFDna734o,True,False,False,1,0,1,hi,Available
edQwNPSnLbs,True,False,False,1,0,1,id,Available
JhfsLa-NsiQ,True,False,True,1,0,1,en,Available
yiF5mWt0b_U,True,False,True,1,0,1,en,Available
nh6_lD6WmK4,True,False,False,1,0,1,hi,Available
DxziniMH0hY,True,False,False,1,0,1,hi,Available
ye3yIVN_U7c,True,False,True,1,0,1,en,Available
APUXWi5OgVQ,True,False,True,1,0,1,en,Available
IWWb0uzRseQ,True,False,False,1,0,1,id,Available
DS5vtX2KZ-o,True,False,False,1,0,1,hi,Available
5hs2jbncpqA,True,False,False,1,0,1,hi,Available
Lje53NjNLTU,True,False,False,1,0,1,de,Available
3Z0lmcgvf6M,True,False,True,1,0,1,en,Available
gwDjY7GJFo0,True,False,True,1,0,1,en,Available
K_P34JMhLrs,True,False,False,1,0,1,ro,Available
WVr1ZLs6B4E,True,False,False,1,0,1,ro,Available
HaV3Dgbydp4,True,False,False,1,0,1,ro,Available
5U_-oBzBT38,True,False,True,1,0,1,en,Available
EGEfO_vxfEk,True,False,False,1,0,1,hi,Available
BmGEH8f9Jbw,True,False,False,1,0,1,hi,Available
QbPynLhysZk,True,False,False,1,0,1,hi,Available
yuglKDI_w7E,True,False,True,1,0,1,en,Available
ZVwmzUC9pcE,True,False,True,1,0,1,en,Available
PZoT9-WsPfM,True,False,False,1,0,1,hi,Available
52R_nXYyyv0,True,False,False,1,0,1,tr,Available
-E1U8ZvBBuw,True,False,True,1,0,1,en,Available
_fdKzs1s_xU,True,False,True,1,0,1,en,Available
VysFW0vGtjc,True,False,False,1,0,1,hi,Available
a5uQMwRMHcs,True,False,True,1,1,0,en,Available
A8LSBHRLgAc,True,False,True,1,0,1,en,Available
xONzXLWUOJw,True,False,False,1,0,1,ru,Available
h8DKGQdhG3U,True,True,False,1,0,1,bn,Available
WhKde9R9br8,True,True,False,1,0,1,bn,Available
anIFMdQ0UF0,True,True,False,1,0,1,bn,Available
UXsmfW7dv6I,True,True,False,1,0,1,bn,Available
H0WfIG4T_SQ,True,True,False,1,0,1,bn,Available
xCA1mQtzCI0,True,True,False,1,0,1,bn,Available
4w7KLPZXEQg,True,True,False,1,0,1,bn,Available
DUEAfs1B_iM,True,True,False,1,0,1,bn,Available
ztBhboHpJko,True,True,False,1,0,1,bn,Available
n_yQakwAowo,True,True,False,1,0,1,bn,Available
fdyug0_U-yI,True,True,False,1,0,1,bn,Available
NgKxWL8I8sM,True,True,False,1,0,1,bn,Available
RGa01SYMAs4,True,True,False,1,0,1,bn,Available
dH4yMJCfkD8,True,True,False,1,0,1,bn,Available
BUJlIShyojw,True,True,False,1,0,1,bn,Available
zydBQdUiHQQ,True,True,False,1,0,1,bn,Available
IkeGGatVPGw,True,True,False,1,0,1,bn,Available
cZ5ANFrr1Nw,True,True,False,1,0,1,bn,Available
nEeIPMLjqtI,True,True,False,1,0,1,bn,Available
Vz-uqxqU3xw,True,False,False,1,0,1,hi,Available
S1PDGlPQDU8,True,False,False,1,0,1,hi,Available
vhKoe_uRBXo,True,False,False,1,0,1,hi,Available
vIOTZKcfQjY,True,False,False,1,0,1,hi,Available
mACktVW_7kE,True,True,False,1,0,1,bn,Available
5clAuLTAuls,True,True,False,1,0,1,bn,Available
L3c1f_ZmLqk,True,True,False,1,0,1,bn,Available
P9468D51wd4,True,False,False,1,0,1,hi,Available
sX7YrDg1hkU,True,False,False,1,0,1,hi,Available
0iiSx7nvpjg,True,False,False,1,0,1,hi,Available
n7QaTEgjXE0,True,False,False,1,0,1,hi,Available
stBEdR0gYB4,True,True,False,1,0,1,bn,Available
ZS-PQmWCCWI,True,True,False,1,0,1,bn,Available
lIcpchKNozM,True,False,True,1,0,1,en,Available
8mSvGn755xM,True,False,True,1,0,1,en,Available
41qGgdX350E,True,True,False,1,0,1,bn,Available
VcMlfENoWBI,True,True,False,1,0,1,bn,Available
lmzFmEpkgbY,True,True,False,1,0,1,bn,Available
NOVHQfMEzYQ,True,True,False,1,0,1,bn,Available
UVlqd5A5rrs,True,True,False,1,0,1,bn,Available
yEuvMF77ODA,True,True,False,1,0,1,bn,Available
o1p1EjlOVuI,True,True,False,1,0,1,bn,Available
7Nttn9LRjoc,True,True,False,1,0,1,bn,Available
jkDYTwU7jTw,True,True,False,1,0,1,bn,Available
J3g_vF2gMpM,True,True,False,1,0,1,bn,Available
otHvHneAGsA,True,False,True,1,0,1,en,Available
xgvLjKWLEdg,True,False,False,1,0,1,hi,Available
rWrobm2xR1k,True,True,False,1,0,1,bn,Available
yCRMJe6uLxk,True,True,False,1,0,1,bn,Available
dOTdkGDfFsY,True,True,False,1,0,1,bn,Available
4IdwSD2bQqI,True,True,False,1,0,1,bn,Available
72ckg0ZOUoo,True,True,False,1,0,1,bn,Available
i91JslRBgqg,True,True,False,1,0,1,bn,Available
WFuvRLLaXoU,True,True,False,1,0,1,bn,Available
QyX6WnfhebY,True,True,False,1,0,1,bn,Available
AGq_Fn0bWEY,True,True,False,1,0,1,bn,Available
-u3loD1aOaE,True,True,False,1,0,1,bn,Available
bK-ERAvRBVQ,True,True,False,1,0,1,bn,Available
VAbYSisI4EI,True,True,False,1,0,1,bn,Available
glxiF8oYzvU,True,False,True,1,0,1,en,Available
E1gPF_vQNCE,True,True,False,1,0,1,bn,Available
FVaYV1QDnIs,True,True,False,1,0,1,bn,Available
JQJoT7krUV4,True,True,False,1,0,1,bn,Available
Ha1p9ZTb2xA,True,True,False,1,0,1,bn,Available
QW1V6i26UzA,True,True,False,1,0,1,bn,Available
G7h-RvW_0vI,True,True,False,1,0,1,bn,Available
3oW1TjO-ZBo,True,True,False,1,0,1,bn,Available
2lcMEcZg9J0,True,False,True,1,0,1,en,Available
T5Jw4_1LxUQ,True,False,False,1,0,1,ar,Available
CHU6An3hggk,True,False,False,1,0,1,ar,Available
8v6B5eN8NU0,True,False,True,1,0,1,en,Available
h9GGv4AivFY,True,False,True,1,0,1,en,Available
q_X1a8ATPL8,True,False,True,1,0,1,en,Available
JPnPveSmCFQ,True,False,True,1,0,1,en,Available
OggPI8YJZjw,True,False,True,1,0,1,en,Available
NXjVSDpZzBQ,True,True,False,1,0,1,bn,Available
iYLkUoK0S1M,True,True,False,1,0,1,bn,Available
rh7fqyOJrlw,True,True,False,1,0,1,bn,Available
EnlsNxQXX4w,True,True,False,1,0,1,bn,Available
3ymAcXz78Wk,True,True,False,1,0,1,bn,Available
5-XbMTY30Qc,True,True,False,1,0,1,bn,Available
UT0a504rXqU,True,True,False,1,0,1,bn,Available
92o3bnDY7Xc,True,True,False,1,0,1,bn,Available
W-E116OXRp8,True,False,True,1,0,1,en,Available
dcNpFktCfmA,True,False,True,1,0,1,en,Available
dGXcecOTUvE,True,True,False,1,0,1,bn,Available
Hfa1HQKb1_0,True,False,True,1,0,1,en,Available
XzjvPiP0dLc,True,True,False,1,0,1,bn,Available
m7tmGMqVK1Y,True,True,False,1,0,1,bn,Available
2ssYhY5G7vQ,True,True,False,1,0,1,bn,Available
wJYYB4wnzNw,True,True,False,1,0,1,bn,Available
Kj0IbWNGMMM,True,True,False,1,0,1,bn,Available
8A0AzLc2FKg,True,True,False,1,0,1,bn,Available
n5V8OXpWT3A,True,True,False,1,0,1,bn,Available
AcPq-jlwF1Y,True,True,False,1,0,1,bn,Available
8Ywn0el-rXU,True,True,False,1,0,1,bn,Available
IFFPkFho8QQ,True,False,True,1,0,1,en,Available
nHhrbKdEr4I,True,False,True,1,0,1,en,Available
9I9zIJ66GiY,True,True,False,1,0,1,bn,Available
rJgpoq_BmnM,True,True,False,1,0,1,bn,Available
ET7F_ncMQPc,True,True,False,1,0,1,bn,Available
xa7Hsh9DF6M,True,True,False,1,0,1,bn,Available
iaL-WMy6ZGU,True,True,False,1,0,1,bn,Available
gGDgieA-AWQ,True,False,True,1,0,1,en,Available
w-27_gUFFho,True,True,False,1,0,1,bn,Available
Lmo6R65x7lo,True,True,False,1,0,1,bn,Available
BiiDNrBSwew,True,True,False,1,0,1,bn,Available
6Z0wSPuXT_0,True,True,False,1,0,1,bn,Available
UByc-pLQP-4,True,True,False,1,0,1,bn,Available
XIjb49E9dp0,True,True,False,1,0,1,bn,Available
Ax8T7ZJpaxo,True,True,False,1,0,1,bn,Available
PuRD20WGCGo,True,False,False,1,0,1,hi,Available
1Zaiq7Q_nOI,True,False,False,1,0,1,hi,Available
SKDzQIkoiQU,True,False,False,1,0,1,hi,Available
SPjk53O-TmQ,True,False,False,1,0,1,hi,Available
67sqj-FZUcc,True,True,False,1,0,1,bn,Available
IkTUH523pVY,True,True,False,1,0,1,bn,Available
lzCIvRBVJZg,True,True,False,1,0,1,bn,Available
KzoccbLyyYw,True,True,False,1,0,1,bn,Available
DQ3FZYjcyVg,True,True,False,1,0,1,bn,Available
GYSOXjxRdfA,True,True,False,1,0,1,bn,Available
51hMIJzT3go,True,True,False,1,0,1,bn,Available
sMbDwjAcSV0,True,True,False,1,0,1,bn,Available
5Hp2apAxTpk,True,True,False,1,0,1,bn,Available
tlQJ6dcKdSU,True,True,False,1,0,1,bn,Available
yh-4nJK2xCM,True,True,False,1,0,1,bn,Available
dsnHKWDvBAs,True,True,False,1,1,0,bn,Available
vUnKgqjviE8,True,True,False,1,1,0,bn,Available
fhErwhebikM,True,True,False,1,1,0,bn,Available
ohxZUAiZl6Y,True,True,False,1,1,0,bn,Available
kyyvdxUQUGo,True,True,False,1,0,1,bn,Available
EjOY_BzCRP8,True,True,False,1,0,1,bn,Available
kxBSOeXeJ-E,True,True,False,1,0,1,bn,Available
tB7PM-FaQ3Y,True,True,False,1,0,1,bn,Available
PS72dWN5gPg,True,True,False,1,0,1,bn,Available
c_EwiBTTjbE,True,True,False,1,0,1,bn,Available
yAH294JaAqM,True,True,False,1,0,1,bn,Available
4QXzCLPoTdU,True,True,False,1,0,1,bn,Available
7Tl-usWkhxU,True,True,False,1,0,1,bn,Available
rk1DVLgn9z8,True,True,False,1,0,1,bn,Available
FMsWHFgzMaA,True,True,False,1,0,1,bn,Available
HlsuJqsC4W0,True,True,False,1,0,1,bn,Available
OH3NSI-cc3c,True,True,False,2,1,1,"bn,bn",Available
78F2m5RCyvQ,True,True,False,2,1,1,"bn,bn",Available
5K1oOlB5h8Q,True,True,False,2,1,1,"bn,bn",Available
qa6Vrx-wJoQ,True,True,False,1,0,1,bn,Available
pR3wzGR7a1s,True,True,False,1,0,1,bn,Available
dYs4PoIJZQk,True,True,False,1,0,1,bn,Available
hk87ZdLEbOQ,True,True,False,1,0,1,bn,Available
UCwDTeKwYdI,True,True,False,1,0,1,bn,Available
FeMYC4LZE0M,True,True,False,1,0,1,bn,Available
GUvve82TdkI,True,True,False,1,0,1,bn,Available
6gxIakVzK6c,True,True,False,1,0,1,bn,Available
FELKy0fxAD0,True,True,False,1,0,1,bn,Available
jecHjWFVOvI,True,True,False,1,0,1,bn,Available
1vg25DUyXAc,True,True,False,1,0,1,bn,Available
BJrXMwNM58g,True,True,False,1,0,1,bn,Available
gGqU8dODX1o,True,True,False,1,0,1,bn,Available
DF8xh7SN5FQ,True,False,False,1,0,1,hi,Available
zwQ97sDIfSM,True,False,True,1,0,1,en,Available
SjDqIRreYbQ,True,True,False,1,0,1,bn,Available
3eCI8t50mUo,True,True,False,1,0,1,bn,Available
AgKZVfB5DuM,True,False,True,1,0,1,en,Available
8MM1w41h_G8,True,True,False,1,0,1,bn,Available
rlXPWhLhPQw,True,False,True,1,0,1,en,Available
MWxJ9BvNwO4,True,True,False,1,0,1,bn,Available
NMs7qGkdirA,True,True,False,1,0,1,bn,Available
V97skfBWJnM,True,True,False,1,0,1,bn,Available
h2Gq9ZXToVc,True,True,False,1,0,1,bn,Available
uJ_OclsNDJg,True,True,False,1,0,1,bn,Available
D54GZSEGIFQ,True,True,False,1,0,1,bn,Available
sUsN6OmhVag,True,True,False,1,0,1,bn,Available
T4RPTd0lKmQ,True,True,False,1,0,1,bn,Available
kHFxASvRBF8,True,True,False,1,0,1,bn,Available
cKCdTj7W3iQ,True,True,False,1,0,1,bn,Available
I0SVPT-Zxv8,True,True,False,1,0,1,bn,Available
pLnHwu5Hjvc,True,True,False,1,0,1,bn,Available
QuTuIYJ2OII,True,True,False,1,0,1,bn,Available
6mHvmCuXCIY,True,True,False,1,0,1,bn,Available
3-3YDub6TpI,True,True,False,1,0,1,bn,Available
3ueo6TXNs3E,True,True,False,1,0,1,bn,Available
cBUCzGMBojQ,True,True,False,1,0,1,bn,Available
rH9SDYep4Fw,True,True,False,1,0,1,bn,Available
huXqMvhSP5c,True,True,False,1,0,1,bn,Available
nxpVllnaHnE,True,True,False,1,0,1,bn,Available
zecVwBHJrJ4,True,True,False,1,0,1,bn,Available
zb0_89AdXUA,True,True,False,1,0,1,bn,Available
AFsG2JP3uyc,True,True,False,1,0,1,bn,Available
o6-5hzMAzU8,True,True,False,1,0,1,bn,Available
